"","Date.Time","Water.Level","I","L"
"1","1993-01-01 00:00",74.87,0,0
"2","1993-01-02 00:00",74.834,0,0
"3","1993-01-03 00:00",74.884,0,0
"4","1993-01-04 00:00",74.893,0,0
"5","1993-01-05 00:00",74.925,0,0
"6","1993-01-06 00:00",74.954,0,0
"7","1993-01-07 00:00",74.955,0,0
"8","1993-01-08 00:00",74.938,0,0
"9","1993-01-09 00:00",74.911,0,0
"10","1993-01-10 00:00",74.912,0,0
"11","1993-01-15 00:00",75.032,0,0
"12","1993-01-16 00:00",75.054,0,0
"13","1993-01-17 00:00",75.087,0,0
"14","1993-01-18 00:00",75.037,0,1
"15","1993-01-19 00:00",75.046,0,0
"16","1993-01-20 00:00",75.093,0,0
"17","1993-01-21 00:00",75.061,0,0
"18","1993-01-22 00:00",75.107,0,0
"19","1993-01-23 00:00",75.102,0,0
"20","1993-01-24 00:00",75.151,0,0
"21","1993-01-25 00:00",75.153,0,0
"22","1993-01-26 00:00",75.146,0,0
"23","1993-01-27 00:00",75.174,0,0
"24","1993-01-28 00:00",75.127,0,0
"25","1993-01-29 00:00",75.216,0,0
"26","1993-01-30 00:00",75.118,0,0
"27","1993-01-31 00:00",75.144,0,0
"28","1993-02-01 00:00",75.09,0,1
"29","1993-02-02 00:00",75.174,0,1
"30","1993-02-03 00:00",75.188,0,0
"31","1993-02-04 00:00",75.16,0,0
"32","1993-02-05 00:00",75.136,0,0
"33","1993-02-06 00:00",75.109,0,1
"34","1993-02-08 00:00",75.13,0,1
"35","1993-02-09 00:00",75.059,0,1
"36","1993-02-15 00:00",75.126,0,1
"37","1993-02-16 00:00",75.1,0,0
"38","1993-02-17 00:00",75.148,0,0
"39","1993-02-18 00:00",75.154,0,0
"40","1993-02-19 00:00",75.183,0,0
"41","1993-02-23 00:00",75.214,0,1
"42","1993-02-24 00:00",75.19,0,0
"43","1993-02-25 00:00",75.147,0,0
"44","1993-02-26 00:00",75.125,0,0
"45","1993-02-27 00:00",75.127,0,0
"46","1993-02-28 00:00",75.133,0,0
"47","1993-03-01 00:00",75.141,0,0
"48","1993-03-02 00:00",75.137,0,0
"49","1993-03-03 00:00",75.129,0,0
"50","1993-03-04 00:00",75.04,0,0
"51","1993-03-05 00:00",75.066,0,0
"52","1993-03-06 00:00",75.13,0,0
"53","1993-03-07 00:00",75.12,0,0
"54","1993-03-08 00:00",75.124,0,0
"55","1993-03-09 00:00",75.156,0,0
"56","1993-03-10 00:00",75.107,0,0
"57","1993-03-11 00:00",75.131,0,0
"58","1993-03-12 00:00",75.093,0,0
"59","1993-03-13 00:00",74.997,0,0
"60","1993-03-14 00:00",75.118,0,0
"61","1993-03-15 00:00",75.102,0,0
"62","1993-03-16 00:00",75.129,0,0
"63","1993-03-17 00:00",75.109,0,0
"64","1993-03-18 00:00",75.082,0,0
"65","1993-03-19 00:00",75.07,0,0
"66","1993-03-20 00:00",75.085,0,0
"67","1993-03-21 00:00",75.11,0,0
"68","1993-03-22 00:00",75.092,0,0
"69","1993-03-23 00:00",75.058,0,0
"70","1993-03-24 00:00",75.069,0,0
"71","1993-03-25 00:00",75.081,0,0
"72","1993-03-26 00:00",75.085,0,0
"73","1993-03-27 00:00",75.084,0,0
"74","1993-03-28 00:00",75.081,0,0
"75","1993-03-29 00:00",75.099,0,0
"76","1993-03-30 00:00",75.113,0,0
"77","1993-03-31 00:00",75.064,0,0
"78","1993-04-01 00:00",75.064,0,0
"79","1993-04-02 00:00",75.155,0,0
"80","1993-04-03 00:00",75.221,0,0
"81","1993-04-04 00:00",75.218,0,0
"82","1993-04-05 00:00",75.22,0,0
"83","1993-04-06 00:00",75.225,0,0
"84","1993-04-07 00:00",75.234,0,0
"85","1993-04-08 00:00",75.234,0,0
"86","1993-04-09 00:00",75.253,0,0
"87","1993-04-10 00:00",75.302,0,0
"88","1993-04-11 00:00",75.321,0,0
"89","1993-04-12 00:00",75.332,0,0
"90","1993-04-13 00:00",75.37,0,0
"91","1993-04-14 00:00",75.383,0,0
"92","1993-04-15 00:00",75.371,0,0
"93","1993-04-16 00:00",75.417,0,0
"94","1993-04-17 00:00",75.471,0,0
"95","1993-04-18 00:00",75.462,0,0
"96","1993-04-19 00:00",75.462,0,0
"97","1993-04-20 00:00",75.46,0,0
"98","1993-04-21 00:00",75.506,0,0
"99","1993-04-22 00:00",75.5,0,1
"100","1993-04-30 00:00",75.615,0,1
"101","1993-05-01 00:00",75.618,0,0
"102","1993-05-02 00:00",75.587,0,0
"103","1993-05-03 00:00",75.599,0,0
"104","1993-05-04 00:00",75.593,0,0
"105","1993-05-05 00:00",75.61,0,0
"106","1993-05-06 00:00",75.625,0,0
"107","1993-05-07 00:00",75.613,0,0
"108","1993-05-08 00:00",75.608,0,0
"109","1993-05-09 00:00",75.61,0,0
"110","1993-05-10 00:00",75.606,0,0
"111","1993-05-11 00:00",75.623,0,0
"112","1993-05-12 00:00",75.61,0,0
"113","1993-05-13 00:00",75.626,0,0
"114","1993-05-14 00:00",75.61,0,0
"115","1993-05-15 00:00",75.622,0,0
"116","1993-05-16 00:00",75.626,0,0
"117","1993-05-17 00:00",75.607,0,0
"118","1993-05-18 00:00",75.591,0,0
"119","1993-05-19 00:00",75.594,0,0
"120","1993-05-20 00:00",75.593,0,0
"121","1993-05-21 00:00",75.592,0,0
"122","1993-05-22 00:00",75.578,0,0
"123","1993-05-23 00:00",75.557,0,0
"124","1993-05-24 00:00",75.562,0,0
"125","1993-05-25 00:00",75.575,0,0
"126","1993-05-26 00:00",75.562,0,0
"127","1993-05-27 00:00",75.559,0,0
"128","1993-05-28 00:00",75.546,0,0
"129","1993-05-29 00:00",75.552,0,0
"130","1993-05-30 00:00",75.513,0,0
"131","1993-05-31 00:00",75.536,0,0
"132","1993-06-01 00:00",75.555,0,0
"133","1993-06-02 00:00",75.527,0,0
"134","1993-06-03 00:00",75.511,0,0
"135","1993-06-04 00:00",75.491,0,0
"136","1993-06-05 00:00",75.478,0,0
"137","1993-06-06 00:00",75.512,0,0
"138","1993-06-07 00:00",75.499,0,0
"139","1993-06-08 00:00",75.474,0,0
"140","1993-06-09 00:00",75.494,0,0
"141","1993-06-10 00:00",75.51,0,0
"142","1993-06-11 00:00",75.494,0,0
"143","1993-06-12 00:00",75.477,0,0
"144","1993-06-13 00:00",75.462,0,0
"145","1993-06-14 00:00",75.451,0,0
"146","1993-06-15 00:00",75.467,0,0
"147","1993-06-16 00:00",75.456,0,0
"148","1993-06-17 00:00",75.431,0,0
"149","1993-06-18 00:00",75.427,0,0
"150","1993-06-19 00:00",75.419,0,0
"151","1993-06-20 00:00",75.402,0,0
"152","1993-06-21 00:00",75.432,0,0
"153","1993-06-22 00:00",75.433,0,0
"154","1993-06-23 00:00",75.416,0,0
"155","1993-06-24 00:00",75.391,0,0
"156","1993-06-25 00:00",75.389,0,0
"157","1993-06-26 00:00",75.405,0,0
"158","1993-06-27 00:00",75.39,0,0
"159","1993-06-28 00:00",75.393,0,0
"160","1993-06-29 00:00",75.378,0,0
"161","1993-06-30 00:00",75.369,0,0
"162","1993-07-01 00:00",75.344,0,0
"163","1993-07-02 00:00",75.336,0,0
"164","1993-07-03 00:00",75.346,0,0
"165","1993-07-04 00:00",75.32,0,0
"166","1993-07-05 00:00",75.304,0,0
"167","1993-07-06 00:00",75.306,0,0
"168","1993-07-07 00:00",75.294,0,0
"169","1993-07-08 00:00",75.29,0,0
"170","1993-07-09 00:00",75.279,0,0
"171","1993-07-10 00:00",75.293,0,0
"172","1993-07-11 00:00",75.27,0,0
"173","1993-07-12 00:00",75.297,0,0
"174","1993-07-13 00:00",75.275,0,0
"175","1993-07-14 00:00",75.258,0,0
"176","1993-07-15 00:00",75.265,0,0
"177","1993-07-16 00:00",75.249,0,0
"178","1993-07-17 00:00",75.238,0,0
"179","1993-07-18 00:00",75.214,0,0
"180","1993-07-19 00:00",75.219,0,0
"181","1993-07-20 00:00",75.236,0,0
"182","1993-07-21 00:00",75.228,0,0
"183","1993-07-22 00:00",75.229,0,0
"184","1993-07-23 00:00",75.218,0,0
"185","1993-07-24 00:00",75.199,0,0
"186","1993-07-25 00:00",75.168,0,0
"187","1993-07-26 00:00",75.181,0,0
"188","1993-07-27 00:00",75.185,0,0
"189","1993-07-28 00:00",75.155,0,0
"190","1993-07-29 00:00",75.164,0,0
"191","1993-07-30 00:00",75.159,0,0
"192","1993-07-31 00:00",75.158,0,0
"193","1993-08-01 00:00",75.153,0,0
"194","1993-08-02 00:00",75.152,0,0
"195","1993-08-03 00:00",75.147,0,0
"196","1993-08-04 00:00",75.154,0,0
"197","1993-08-05 00:00",75.127,0,0
"198","1993-08-06 00:00",75.103,0,0
"199","1993-08-07 00:00",75.102,0,0
"200","1993-08-08 00:00",75.09,0,0
"201","1993-08-09 00:00",75.069,0,0
"202","1993-08-10 00:00",75.061,0,0
"203","1993-08-11 00:00",75.053,0,0
"204","1993-08-12 00:00",75.049,0,0
