"","Date.Time","Water.Level","I","L"
"1","2007-01-01 00:00",74.879,0,0
"2","2007-01-02 00:00",74.869,0,0
"3","2007-01-03 00:00",74.872,0,0
"4","2007-01-04 00:00",74.858,0,0
"5","2007-01-05 00:00",74.857,0,0
"6","2007-01-06 00:00",74.916,0,0
"7","2007-01-07 00:00",74.882,0,0
"8","2007-01-08 00:00",74.979,0,0
"9","2007-01-09 00:00",74.954,0,0
"10","2007-01-10 00:00",74.945,0,0
"11","2007-01-11 00:00",74.96,0,0
"12","2007-01-12 00:00",74.962,0,0
"13","2007-01-13 00:00",74.93,0,0
"14","2007-01-14 00:00",74.938,0,0
"15","2007-01-15 00:00",74.925,0,0
"16","2007-01-16 00:00",74.981,0,0
"17","2007-01-17 00:00",74.988,0,0
"18","2007-01-18 00:00",75.032,0,0
"19","2007-01-19 00:00",75.051,0,0
"20","2007-01-20 00:00",75.008,0,0
"21","2007-01-21 00:00",74.976,0,0
"22","2007-01-22 00:00",74.979,0,0
"23","2007-01-23 00:00",75.029,0,0
"24","2007-01-24 00:00",74.991,0,0
"25","2007-01-25 00:00",74.99,0,0
"26","2007-01-26 00:00",74.985,0,0
"27","2007-01-27 00:00",74.969,0,0
"28","2007-01-28 00:00",74.988,0,0
"29","2007-01-29 00:00",75.009,0,0
"30","2007-01-30 00:00",74.985,0,0
"31","2007-01-31 00:00",75.057,0,0
"32","2007-02-01 00:00",75.05,0,0
"33","2007-02-02 00:00",75.052,0,0
"34","2007-02-03 00:00",75.097,0,0
"35","2007-02-04 00:00",75.11,0,0
"36","2007-02-05 00:00",75.078,0,0
"37","2007-02-06 00:00",75.048,0,0
"38","2007-02-07 00:00",75.08,0,0
"39","2007-02-08 00:00",75.071,0,0
"40","2007-02-09 00:00",75.031,0,0
"41","2007-02-10 00:00",75.03,0,0
"42","2007-02-11 00:00",75.03,0,0
"43","2007-02-12 00:00",74.984,0,0
"44","2007-02-13 00:00",74.92,0,0
"45","2007-02-14 00:00",74.926,0,0
"46","2007-02-15 00:00",74.995,0,0
"47","2007-02-16 00:00",74.989,0,0
"48","2007-02-17 00:00",74.967,0,0
"49","2007-02-18 00:00",74.951,0,0
"50","2007-02-19 00:00",74.89,0,0
"51","2007-02-20 00:00",74.922,0,0
"52","2007-02-21 00:00",74.894,0,0
"53","2007-02-22 00:00",74.893,0,0
"54","2007-02-23 00:00",74.897,0,0
"55","2007-02-24 00:00",74.878,0,0
"56","2007-02-25 00:00",74.824,0,0
"57","2007-02-26 00:00",74.839,0,0
"58","2007-02-27 00:00",74.851,0,0
"59","2007-02-28 00:00",74.838,0,0
"60","2007-03-01 00:00",74.777,0,0
"61","2007-03-02 00:00",74.825,0,0
"62","2007-03-03 00:00",74.868,0,0
"63","2007-03-04 00:00",74.876,0,0
"64","2007-03-05 00:00",74.873,0,0
"65","2007-03-06 00:00",74.815,0,0
"66","2007-03-07 00:00",74.808,0,0
"67","2007-03-08 00:00",74.776,0,0
"68","2007-03-09 00:00",74.759,0,0
"69","2007-03-10 00:00",74.795,0,0
"70","2007-03-11 00:00",74.791,0,0
"71","2007-03-12 00:00",74.767,0,0
"72","2007-03-13 00:00",74.764,0,0
"73","2007-03-14 00:00",74.776,0,0
"74","2007-03-15 00:00",74.772,0,0
"75","2007-03-16 00:00",74.715,0,0
"76","2007-03-17 00:00",74.787,0,0
"77","2007-03-18 00:00",74.82,0,0
"78","2007-03-19 00:00",74.819,0,0
"79","2007-03-20 00:00",74.821,0,0
"80","2007-03-21 00:00",74.797,0,0
"81","2007-03-22 00:00",74.843,0,0
"82","2007-03-23 00:00",74.822,0,0
"83","2007-03-24 00:00",74.806,0,0
"84","2007-03-25 00:00",74.815,0,0
"85","2007-03-26 00:00",74.855,0,0
"86","2007-03-27 00:00",74.866,0,0
"87","2007-03-28 00:00",74.862,0,0
"88","2007-03-29 00:00",74.869,0,0
"89","2007-03-30 00:00",74.878,0,0
"90","2007-03-31 00:00",74.865,0,0
"91","2007-04-01 00:00",74.863,0,0
"92","2007-04-02 00:00",74.911,0,0
"93","2007-04-03 00:00",74.882,0,0
"94","2007-04-04 00:00",74.947,0,0
"95","2007-04-05 00:00",74.977,0,0
"96","2007-04-06 00:00",74.975,0,0
"97","2007-04-07 00:00",74.965,0,0
"98","2007-04-08 00:00",74.994,0,0
"99","2007-04-09 00:00",74.97,0,0
"100","2007-04-10 00:00",74.963,0,0
"101","2007-04-11 00:00",74.918,0,0
"102","2007-04-12 00:00",74.959,0,0
"103","2007-04-13 00:00",75.016,0,0
"104","2007-04-14 00:00",74.97,0,0
"105","2007-04-15 00:00",74.942,0,0
"106","2007-04-16 00:00",74.948,0,0
"107","2007-04-17 00:00",74.981,0,0
"108","2007-04-18 00:00",74.984,0,0
"109","2007-04-19 00:00",74.997,0,0
"110","2007-04-20 00:00",75.014,0,0
"111","2007-04-21 00:00",75.019,0,0
"112","2007-04-22 00:00",75.017,0,0
"113","2007-04-23 00:00",75.03,0,0
"114","2007-04-24 00:00",75.037,0,0
"115","2007-04-25 00:00",75.036,0,0
"116","2007-04-26 00:00",75.019,0,0
"117","2007-04-27 00:00",75.043,0,0
"118","2007-04-28 00:00",75.063,0,0
"119","2007-04-29 00:00",75.065,0,0
"120","2007-04-30 00:00",75.08,0,0
"121","2007-05-01 00:00",75.045,0,0
"122","2007-05-02 00:00",75.06,0,0
"123","2007-05-03 00:00",75.054,0,0
"124","2007-05-04 00:00",75.053,0,0
"125","2007-05-05 00:00",75.039,0,0
"126","2007-05-06 00:00",75.04,0,0
"127","2007-05-07 00:00",75.034,0,0
"128","2007-05-08 00:00",75.034,0,0
"129","2007-05-09 00:00",75.025,0,0
"130","2007-05-10 00:00",75.026,0,0
"131","2007-05-11 00:00",75.026,0,0
"132","2007-05-12 00:00",75.01,0,0
"133","2007-05-13 00:00",75.015,0,0
"134","2007-05-14 00:00",75.006,0,0
"135","2007-05-15 00:00",75.005,0,0
"136","2007-05-16 00:00",75.018,0,0
"137","2007-05-17 00:00",75.024,0,0
"138","2007-05-18 00:00",75.026,0,0
"139","2007-05-19 00:00",75.032,0,0
"140","2007-05-20 00:00",75.031,0,0
"141","2007-05-21 00:00",75.026,0,0
"142","2007-05-22 00:00",75.01,0,0
"143","2007-05-23 00:00",75.008,0,0
"144","2007-05-24 00:00",75.008,0,0
"145","2007-05-25 00:00",75.013,0,0
"146","2007-05-26 00:00",75.011,0,0
"147","2007-05-27 00:00",75.008,0,0
"148","2007-05-28 00:00",75.017,0,0
"149","2007-05-29 00:00",75.007,0,0
"150","2007-05-30 00:00",75.004,0,0
"151","2007-05-31 00:00",75.005,0,0
"152","2007-06-01 00:00",75.006,0,0
"153","2007-06-02 00:00",74.997,0,0
"154","2007-06-03 00:00",74.984,0,0
"155","2007-06-04 00:00",74.993,0,0
"156","2007-06-05 00:00",75.037,0,0
"157","2007-06-06 00:00",75.004,0,0
"158","2007-06-07 00:00",74.993,0,0
"159","2007-06-08 00:00",75.013,0,0
"160","2007-06-09 00:00",75.014,0,0
"161","2007-06-10 00:00",75.003,0,0
"162","2007-06-11 00:00",74.997,0,0
"163","2007-06-12 00:00",74.994,0,0
"164","2007-06-13 00:00",74.973,0,0
"165","2007-06-14 00:00",74.971,0,0
"166","2007-06-15 00:00",74.967,0,0
"167","2007-06-16 00:00",74.967,0,0
"168","2007-06-17 00:00",74.96,0,0
"169","2007-06-18 00:00",74.94,0,0
"170","2007-06-19 00:00",74.956,0,0
"171","2007-06-20 00:00",74.979,0,0
"172","2007-06-21 00:00",74.958,0,0
"173","2007-06-22 00:00",74.958,0,0
"174","2007-06-23 00:00",74.95,0,0
"175","2007-06-24 00:00",74.94,0,0
"176","2007-06-25 00:00",74.938,0,0
"177","2007-06-26 00:00",74.933,0,0
"178","2007-06-27 00:00",74.933,0,0
"179","2007-06-28 00:00",74.924,0,0
"180","2007-06-29 00:00",74.917,0,0
"181","2007-06-30 00:00",74.897,0,0
"182","2007-07-01 00:00",74.889,0,0
"183","2007-07-02 00:00",74.881,0,0
"184","2007-07-03 00:00",74.863,0,0
"185","2007-07-04 00:00",74.864,0,0
"186","2007-07-05 00:00",74.861,0,0
"187","2007-07-06 00:00",74.864,0,0
"188","2007-07-07 00:00",74.857,0,0
"189","2007-07-08 00:00",74.849,0,0
"190","2007-07-09 00:00",74.869,0,0
"191","2007-07-10 00:00",74.857,0,0
"192","2007-07-11 00:00",74.883,0,0
"193","2007-07-12 00:00",74.872,0,0
"194","2007-07-13 00:00",74.889,0,0
"195","2007-07-14 00:00",74.872,0,0
"196","2007-07-15 00:00",74.886,0,0
"197","2007-07-16 00:00",74.864,0,0
"198","2007-07-17 00:00",74.849,0,0
"199","2007-07-18 00:00",74.847,0,0
"200","2007-07-19 00:00",74.851,0,0
"201","2007-07-20 00:00",74.862,0,0
"202","2007-07-21 00:00",74.851,0,0
"203","2007-07-22 00:00",74.844,0,0
"204","2007-07-23 00:00",74.837,0,0
"205","2007-07-24 00:00",74.841,0,0
"206","2007-07-25 00:00",74.823,0,0
"207","2007-07-26 00:00",74.818,0,0
"208","2007-07-27 00:00",74.821,0,0
"209","2007-07-28 00:00",74.817,0,0
"210","2007-07-29 00:00",74.8,0,0
"211","2007-07-30 00:00",74.797,0,0
"212","2007-07-31 00:00",74.794,0,0
"213","2007-08-01 00:00",74.79,0,0
"214","2007-08-02 00:00",74.787,0,0
"215","2007-08-03 00:00",74.795,0,0
"216","2007-08-04 00:00",74.776,0,0
"217","2007-08-05 00:00",74.751,0,0
"218","2007-08-06 00:00",74.781,0,0
"219","2007-08-07 00:00",74.757,0,0
"220","2007-08-08 00:00",74.771,0,0
"221","2007-08-09 00:00",74.725,0,0
"222","2007-08-10 00:00",74.735,0,0
"223","2007-08-11 00:00",74.729,0,0
"224","2007-08-12 00:00",74.732,0,0
"225","2007-08-13 00:00",74.722,0,0
"226","2007-08-14 00:00",74.697,0,0
"227","2007-08-15 00:00",74.734,0,0
"228","2007-08-16 00:00",74.727,0,0
"229","2007-08-17 00:00",74.713,0,0
"230","2007-08-18 00:00",74.69,0,0
"231","2007-08-19 00:00",74.676,0,0
"232","2007-08-20 00:00",74.639,0,0
"233","2007-08-21 00:00",74.627,0,0
"234","2007-08-22 00:00",74.635,0,0
"235","2007-08-23 00:00",74.635,0,0
"236","2007-08-24 00:00",74.632,0,0
"237","2007-08-25 00:00",74.648,0,0
"238","2007-08-26 00:00",74.633,0,0
"239","2007-08-27 00:00",74.617,0,0
"240","2007-08-28 00:00",74.614,0,0
"241","2007-08-29 00:00",74.624,0,0
"242","2007-08-30 00:00",74.608,0,0
"243","2007-08-31 00:00",74.598,0,0
"244","2007-09-01 00:00",74.58,0,0
"245","2007-09-02 00:00",74.583,0,0
"246","2007-09-03 00:00",74.597,0,0
"247","2007-09-04 00:00",74.561,0,0
"248","2007-09-05 00:00",74.546,0,0
"249","2007-09-06 00:00",74.567,0,0
"250","2007-09-07 00:00",74.579,0,0
"251","2007-09-08 00:00",74.568,0,0
"252","2007-09-09 00:00",74.533,0,0
"253","2007-09-10 00:00",74.544,0,0
"254","2007-09-11 00:00",74.572,0,0
"255","2007-09-12 00:00",74.576,0,0
"256","2007-09-13 00:00",74.556,0,0
"257","2007-09-14 00:00",74.589,0,0
"258","2007-09-15 00:00",74.57,0,0
"259","2007-09-16 00:00",74.552,0,0
"260","2007-09-17 00:00",74.536,0,0
"261","2007-09-18 00:00",74.521,0,0
"262","2007-09-19 00:00",74.521,0,0
"263","2007-09-20 00:00",74.508,0,0
"264","2007-09-21 00:00",74.494,0,0
"265","2007-09-22 00:00",74.515,0,0
"266","2007-09-23 00:00",74.491,0,0
"267","2007-09-24 00:00",74.481,0,0
"268","2007-09-25 00:00",74.483,0,0
"269","2007-09-26 00:00",74.494,0,0
"270","2007-09-27 00:00",74.492,0,0
"271","2007-09-28 00:00",74.497,0,0
"272","2007-09-29 00:00",74.48,0,0
"273","2007-09-30 00:00",74.474,0,0
"274","2007-10-01 00:00",74.476,0,0
"275","2007-10-02 00:00",74.463,0,0
"276","2007-10-03 00:00",74.467,0,0
"277","2007-10-04 00:00",74.445,0,0
"278","2007-10-05 00:00",74.438,0,0
"279","2007-10-06 00:00",74.435,0,0
"280","2007-10-07 00:00",74.422,0,0
"281","2007-10-08 00:00",74.437,0,0
"282","2007-10-09 00:00",74.411,0,0
"283","2007-10-10 00:00",74.42,0,0
"284","2007-10-11 00:00",74.409,0,0
"285","2007-10-12 00:00",74.407,0,0
"286","2007-10-13 00:00",74.429,0,0
"287","2007-10-14 00:00",74.416,0,0
"288","2007-10-15 00:00",74.406,0,0
"289","2007-10-16 00:00",74.372,0,0
"290","2007-10-17 00:00",74.375,0,0
"291","2007-10-18 00:00",74.364,0,0
"292","2007-10-19 00:00",74.387,0,0
"293","2007-10-20 00:00",74.416,0,0
"294","2007-10-21 00:00",74.386,0,0
"295","2007-10-22 00:00",74.372,0,0
"296","2007-10-23 00:00",74.382,0,0
"297","2007-10-24 00:00",74.38,0,0
"298","2007-10-25 00:00",74.346,0,0
"299","2007-10-26 00:00",74.351,0,0
"300","2007-10-27 00:00",74.426,0,0
"301","2007-10-28 00:00",74.36,0,0
"302","2007-10-29 00:00",74.389,0,0
"303","2007-10-30 00:00",74.359,0,0
"304","2007-10-31 00:00",74.382,0,0
"305","2007-11-01 00:00",74.379,0,0
"306","2007-11-02 00:00",74.336,0,0
"307","2007-11-03 00:00",74.348,0,0
"308","2007-11-04 00:00",74.339,0,0
"309","2007-11-05 00:00",74.35,0,0
"310","2007-11-06 00:00",74.412,0,0
"311","2007-11-07 00:00",74.347,0,0
"312","2007-11-08 00:00",74.311,0,0
"313","2007-11-09 00:00",74.292,0,0
"314","2007-11-10 00:00",74.281,0,0
"315","2007-11-11 00:00",74.279,0,0
"316","2007-11-12 00:00",74.295,0,0
"317","2007-11-13 00:00",74.289,0,0
"318","2007-11-14 00:00",74.303,0,0
"319","2007-11-15 00:00",74.282,0,0
"320","2007-11-16 00:00",74.284,0,0
"321","2007-11-17 00:00",74.268,0,0
"322","2007-11-18 00:00",74.232,0,0
"323","2007-11-19 00:00",74.256,0,0
"324","2007-11-20 00:00",74.274,0,0
"325","2007-11-21 00:00",74.199,0,0
"326","2007-11-22 00:00",74.237,0,0
"327","2007-11-23 00:00",74.265,0,0
"328","2007-11-24 00:00",74.293,0,0
"329","2007-11-25 00:00",74.316,0,0
"330","2007-11-26 00:00",74.256,0,0
"331","2007-11-27 00:00",74.324,0,0
"332","2007-11-28 00:00",74.239,0,0
"333","2007-11-29 00:00",74.375,0,0
"334","2007-11-30 00:00",74.332,0,0
"335","2007-12-01 00:00",74.237,0,0
"336","2007-12-02 00:00",74.22,0,0
"337","2007-12-03 00:00",74.351,0,0
"338","2007-12-04 00:00",74.292,0,0
"339","2007-12-05 00:00",74.278,0,0
"340","2007-12-06 00:00",74.289,0,0
"341","2007-12-07 00:00",74.293,0,0
"342","2007-12-08 00:00",74.279,0,0
"343","2007-12-09 00:00",74.232,0,0
"344","2007-12-10 00:00",74.249,0,0
"345","2007-12-11 00:00",74.263,0,0
"346","2007-12-12 00:00",74.28,0,0
"347","2007-12-13 00:00",74.24,0,0
"348","2007-12-14 00:00",74.314,0,0
"349","2007-12-15 00:00",74.208,0,0
"350","2007-12-16 00:00",74.214,0,0
"351","2007-12-17 00:00",74.291,0,0
"352","2007-12-18 00:00",74.283,0,0
"353","2007-12-19 00:00",74.297,0,0
"354","2007-12-20 00:00",74.288,0,0
"355","2007-12-21 00:00",74.283,0,0
"356","2007-12-22 00:00",74.308,0,0
"357","2007-12-23 00:00",74.363,0,0
"358","2007-12-24 00:00",74.429,0,0
"359","2007-12-25 00:00",74.374,0,0
"360","2007-12-26 00:00",74.344,0,0
"361","2007-12-27 00:00",74.365,0,0
"362","2007-12-28 00:00",74.353,0,0
"363","2007-12-29 00:00",74.446,0,0
"364","2007-12-30 00:00",74.382,0,0
"365","2007-12-31 00:00",74.411,0,0
