"","Date.Time","Water.Level","I","L"
"1","2010-01-01 00:00",74.52,0,0
"2","2010-01-02 00:00",74.552,0,0
"3","2010-01-03 00:00",74.554,0,0
"4","2010-01-04 00:00",74.525,0,1
"5","2010-01-05 00:00",74.524,0,0
"6","2010-01-06 00:00",74.531,0,0
"7","2010-01-07 00:00",74.517,0,0
"8","2010-01-08 00:00",74.515,0,1
"9","2010-01-09 00:00",74.513,0,0
"10","2010-01-10 00:00",74.522,0,0
"11","2010-01-11 00:00",74.51,0,0
"12","2010-01-12 00:00",74.512,0,0
"13","2010-01-13 00:00",74.507,0,0
"14","2010-01-14 00:00",74.486,0,0
"15","2010-01-15 00:00",74.505,0,0
"16","2010-01-16 00:00",74.501,0,0
"17","2010-01-17 00:00",74.477,0,0
"18","2010-01-18 00:00",74.502,0,0
"19","2010-01-19 00:00",74.499,0,0
"20","2010-01-20 00:00",74.511,0,0
"21","2010-01-21 00:00",74.488,0,0
"22","2010-01-22 00:00",74.488,0,0
"23","2010-01-23 00:00",74.476,0,0
"24","2010-01-24 00:00",74.455,0,0
"25","2010-01-25 00:00",74.525,0,0
"26","2010-01-26 00:00",74.573,0,0
"27","2010-01-27 00:00",74.591,0,0
"28","2010-01-28 00:00",74.641,0,0
"29","2010-01-29 00:00",74.617,0,0
"30","2010-01-30 00:00",74.58,0,0
"31","2010-01-31 00:00",74.6,0,0
"32","2010-02-01 00:00",74.61,0,0
"33","2010-02-02 00:00",74.57,0,0
"34","2010-02-03 00:00",74.595,0,0
"35","2010-02-04 00:00",74.593,0,0
"36","2010-02-05 00:00",74.577,0,0
"37","2010-02-06 00:00",74.575,0,0
"38","2010-02-07 00:00",74.582,0,0
"39","2010-02-08 00:00",74.59,0,0
"40","2010-02-09 00:00",74.555,0,0
"41","2010-02-10 00:00",74.566,0,0
"42","2010-02-11 00:00",74.578,0,0
"43","2010-02-12 00:00",74.563,0,0
"44","2010-02-13 00:00",74.566,0,0
"45","2010-02-14 00:00",74.578,0,0
"46","2010-02-15 00:00",74.541,0,0
"47","2010-02-16 00:00",74.534,0,0
"48","2010-02-17 00:00",74.555,0,0
"49","2010-02-18 00:00",74.558,0,0
"50","2010-02-19 00:00",74.562,0,0
"51","2010-02-20 00:00",74.542,0,0
"52","2010-02-21 00:00",74.517,0,0
"53","2010-02-22 00:00",74.479,0,0
"54","2010-02-23 00:00",74.49,0,0
"55","2010-02-24 00:00",74.505,0,0
"56","2010-02-25 00:00",74.536,0,0
"57","2010-02-26 00:00",74.54,0,0
"58","2010-02-27 00:00",74.525,0,0
"59","2010-02-28 00:00",74.525,0,0
"60","2010-03-01 00:00",74.524,0,0
"61","2010-03-02 00:00",74.514,0,0
"62","2010-03-03 00:00",74.516,0,0
"63","2010-03-04 00:00",74.511,0,0
"64","2010-03-05 00:00",74.502,0,0
"65","2010-03-06 00:00",74.502,0,0
"66","2010-03-07 00:00",74.501,0,0
"67","2010-03-08 00:00",74.494,0,0
"68","2010-03-09 00:00",74.481,0,0
"69","2010-03-10 00:00",74.474,0,0
"70","2010-03-11 00:00",74.472,0,0
"71","2010-03-12 00:00",74.458,0,0
"72","2010-03-13 00:00",74.468,0,0
"73","2010-03-14 00:00",74.525,0,0
"74","2010-03-15 00:00",74.549,0,0
"75","2010-03-16 00:00",74.546,0,0
"76","2010-03-17 00:00",74.552,0,0
"77","2010-03-18 00:00",74.56,0,0
"78","2010-03-19 00:00",74.566,0,0
"79","2010-03-20 00:00",74.574,0,0
