"Date","WL"
"1906-01-01",74.858
"1906-01-02",74.819
"1906-01-03",74.746
"1906-01-04",74.767
"1906-01-05",74.807
"1906-01-06",74.858
"1906-01-07",74.88
"1906-01-08",74.797
"1906-01-09",74.849
"1906-01-10",74.758
"1906-01-11",74.788
"1906-01-12",74.797
"1906-01-13",74.727
"1906-01-14",74.706
"1906-01-15",74.736
"1906-01-16",74.776
"1906-01-17",74.828
"1906-01-18",74.746
"1906-01-19",74.767
"1906-01-20",74.727
"1906-01-21",74.758
"1906-01-22",74.797
"1906-01-23",74.828
"1906-01-24",74.889
"1906-01-25",74.807
"1906-01-26",74.849
"1906-01-27",74.807
"1906-01-28",74.889
"1906-01-29",74.828
"1906-01-30",74.797
"1906-01-31",74.858
"1906-02-01",74.828
"1906-02-02",74.919
"1906-02-03",74.797
"1906-02-04",74.797
"1906-02-05",74.819
"1906-02-06",74.797
"1906-02-07",74.788
"1906-02-08",74.797
"1906-02-09",74.776
"1906-02-10",74.837
"1906-02-11",74.736
"1906-02-12",74.758
"1906-02-13",74.807
"1906-02-14",74.797
"1906-02-15",74.819
"1906-02-16",74.797
"1906-02-17",74.788
"1906-02-18",74.797
"1906-02-19",74.807
"1906-02-20",74.746
"1906-02-21",74.758
"1906-02-22",74.715
"1906-02-23",74.727
"1906-02-24",74.746
"1906-02-25",74.727
"1906-02-26",74.868
"1906-02-27",74.767
"1906-02-28",74.797
"1906-03-01",74.746
"1906-03-02",74.727
"1906-03-03",74.706
"1906-03-04",74.767
"1906-03-05",74.776
"1906-03-06",74.715
"1906-03-07",74.746
"1906-03-08",74.736
"1906-03-09",74.776
"1906-03-10",74.776
"1906-03-11",74.727
"1906-03-12",74.767
"1906-03-13",74.746
"1906-03-14",74.715
"1906-03-15",74.727
"1906-03-16",74.706
"1906-03-17",74.746
"1906-03-18",74.706
"1906-03-19",74.676
"1906-03-20",74.797
"1906-03-21",74.706
"1906-03-22",74.758
"1906-03-23",74.758
"1906-03-24",74.715
"1906-03-25",74.676
"1906-03-26",74.666
"1906-03-27",74.666
"1906-03-28",74.736
"1906-03-29",74.727
"1906-03-30",74.776
"1906-03-31",74.797
"1906-04-01",74.767
"1906-04-02",74.767
"1906-04-03",74.758
"1906-04-04",74.788
"1906-04-05",74.776
"1906-04-06",74.849
"1906-04-07",74.788
"1906-04-08",74.797
"1906-04-09",74.736
"1906-04-10",74.807
"1906-04-11",74.849
"1906-04-12",74.828
"1906-04-13",74.858
"1906-04-14",74.819
"1906-04-15",74.858
"1906-04-16",74.868
"1906-04-17",74.88
"1906-04-18",74.858
"1906-04-19",74.858
"1906-04-20",74.88
"1906-04-21",74.858
"1906-04-22",74.858
"1906-04-23",74.889
"1906-04-24",74.889
"1906-04-25",74.868
"1906-04-26",74.858
"1906-04-27",74.868
"1906-04-28",74.88
"1906-04-29",74.849
"1906-04-30",74.868
"1906-05-01",74.858
"1906-05-02",74.849
"1906-05-03",74.898
"1906-05-04",74.849
"1906-05-05",74.858
"1906-05-06",74.868
"1906-05-07",74.868
"1906-05-08",74.858
"1906-05-09",74.868
"1906-05-10",74.88
"1906-05-11",74.858
"1906-05-12",74.837
"1906-05-13",74.868
"1906-05-14",74.88
"1906-05-15",74.889
"1906-05-16",74.88
"1906-05-17",74.88
"1906-05-18",74.889
"1906-05-19",74.889
"1906-05-20",74.889
"1906-05-21",74.88
"1906-05-22",74.849
"1906-05-23",74.858
"1906-05-24",74.858
"1906-05-25",74.868
"1906-05-26",74.868
"1906-05-27",74.889
"1906-05-28",74.889
"1906-05-29",74.88
"1906-05-30",74.849
"1906-05-31",74.849
"1906-06-01",74.868
"1906-06-02",74.858
"1906-06-03",74.858
"1906-06-04",74.858
"1906-06-05",74.849
"1906-06-06",74.868
"1906-06-07",74.868
"1906-06-08",74.858
"1906-06-09",74.858
"1906-06-10",74.898
"1906-06-11",74.898
"1906-06-12",74.889
"1906-06-13",74.889
"1906-06-14",74.889
"1906-06-15",74.898
"1906-06-16",74.88
"1906-06-17",74.889
"1906-06-18",74.889
"1906-06-19",74.898
"1906-06-20",74.889
"1906-06-21",74.889
"1906-06-22",74.898
"1906-06-23",74.889
"1906-06-24",74.91
"1906-06-25",74.919
"1906-06-26",74.898
"1906-06-27",74.889
"1906-06-28",74.889
"1906-06-29",74.941
"1906-06-30",74.941
"1906-07-01",74.941
"1906-07-02",74.928
"1906-07-03",74.928
"1906-07-04",74.989
"1906-07-05",74.959
"1906-07-06",74.941
"1906-07-07",74.95
"1906-07-08",74.928
"1906-07-09",74.95
"1906-07-10",74.95
"1906-07-11",74.95
"1906-07-12",74.95
