"Date","IGLD.m"
1995-01-01,74.333
1995-01-02,74.425
1995-01-03,74.419
1995-01-04,74.412
1995-01-05,74.497
1995-01-06,74.433
1995-01-07,74.336
1995-01-08,74.385
1995-01-09,74.363
1995-01-10,74.265
1995-01-11,74.208
1995-01-12,74.321
1995-01-13,74.342
1995-01-14,74.322
1995-01-15,74.36
1995-01-16,74.372
1995-01-17,74.398
1995-01-18,74.395
1995-01-19,74.41
1995-01-20,74.381
1995-01-21,74.469
1995-01-22,74.547
1995-01-23,74.555
1995-01-24,74.56
1995-01-25,74.567
1995-01-26,74.598
1995-01-27,74.558
1995-01-28,74.567
1995-01-29,74.573
1995-01-30,74.605
1995-01-31,74.696
1995-02-01,74.659
1995-02-02,74.578
1995-02-03,74.591
1995-02-04,74.59
1995-02-05,74.636
1995-02-06,74.634
1995-02-07,74.633
1995-02-08,74.646
1995-02-09,74.7
1995-02-10,74.628
1995-02-11,74.674
1995-02-12,74.664
1995-02-13,74.668
1995-02-14,74.636
1995-02-15,74.621
1995-02-16,74.625
1995-02-17,74.603
1995-02-18,74.588
1995-02-19,74.586
1995-02-20,74.563
1995-02-21,74.572
1995-02-22,74.558
1995-02-23,74.552
1995-02-24,74.623
1995-02-25,74.552
1995-02-26,74.512
1995-02-27,74.508
1995-02-28,74.528
1995-03-01,74.55
1995-03-02,74.534
1995-03-03,74.526
1995-03-04,74.52
1995-03-05,74.487
1995-03-06,74.524
1995-03-07,74.507
1995-03-08,74.579
1995-03-09,74.571
1995-03-10,74.559
1995-03-11,74.541
1995-03-12,74.554
1995-03-13,74.563
1995-03-14,74.564
1995-03-15,74.572
1995-03-16,74.586
1995-03-17,74.601
1995-03-18,74.591
1995-03-19,74.569
1995-03-20,74.584
1995-03-21,74.619
1995-03-22,74.631
1995-03-23,74.622
1995-03-24,74.602
1995-03-25,74.617
1995-03-26,74.602
1995-03-27,74.57
1995-03-28,74.56
1995-03-29,74.576
1995-03-30,74.584
1995-03-31,74.607
1995-04-01,74.566
1995-04-02,74.56
1995-04-03,74.565
1995-04-04,74.655
1995-04-05,74.573
1995-04-06,74.513
1995-04-07,74.523
1995-04-08,74.527
1995-04-09,74.536
1995-04-10,74.51
1995-04-11,74.489
1995-04-12,74.533
1995-04-13,74.589
1995-04-14,74.576
1995-04-15,74.593
1995-04-16,74.573
1995-04-17,74.542
1995-04-18,74.505
1995-04-19,74.587
1995-04-20,74.564
1995-04-21,74.547
1995-04-22,74.621
1995-04-23,74.597
1995-04-24,74.561
1995-04-25,74.581
1995-04-26,74.599
1995-04-27,74.558
1995-04-28,74.615
1995-04-29,74.627
1995-04-30,74.609
1995-05-01,74.607
1995-05-02,74.611
1995-05-03,74.643
1995-05-04,74.639
1995-05-05,74.642
1995-05-06,74.629
1995-05-07,74.627
1995-05-08,74.631
1995-05-09,74.632
1995-05-10,74.62
1995-05-11,74.67
1995-05-12,74.68
1995-05-13,74.66
1995-05-14,74.669
1995-05-15,74.719
1995-05-16,74.697
1995-05-17,74.702
1995-05-18,74.731
1995-05-19,74.722
1995-05-20,74.724
1995-05-21,74.739
1995-05-22,74.751
1995-05-23,74.732
1995-05-24,74.753
1995-05-25,74.733
1995-05-26,74.744
1995-05-27,74.719
1995-05-28,74.735
1995-05-29,74.805
1995-05-30,74.798
1995-05-31,74.802
1995-06-01,74.78
1995-06-02,74.767
1995-06-03,74.779
1995-06-04,74.783
1995-06-05,74.792
1995-06-06,74.779
1995-06-07,74.783
1995-06-08,74.755
1995-06-09,74.772
1995-06-10,74.767
1995-06-11,74.805
1995-06-12,74.795
1995-06-13,74.8
1995-06-14,74.781
1995-06-15,74.793
1995-06-16,74.793
1995-06-17,74.804
1995-06-18,74.807
1995-06-19,74.812
1995-06-20,74.764
1995-06-21,74.742
1995-06-22,74.749
1995-06-23,74.756
1995-06-24,74.757
1995-06-25,74.754
1995-06-26,74.724
1995-06-27,74.731
1995-06-28,74.75
1995-06-29,74.756
1995-06-30,74.762
1995-07-01,74.789
1995-07-02,74.805
1995-07-03,74.762
1995-07-04,74.747
1995-07-05,74.76
1995-07-06,74.779
1995-07-07,74.796
1995-07-08,74.808
1995-07-09,74.791
1995-07-10,74.797
1995-07-11,74.794
1995-07-12,74.794
1995-07-13,74.79
1995-07-14,74.805
1995-07-15,74.799
1995-07-16,74.755
1995-07-17,74.78
1995-07-18,74.826
1995-07-19,74.816
1995-07-20,74.829
1995-07-21,74.833
1995-07-22,74.811
1995-07-23,74.821
1995-07-24,74.819
1995-07-25,74.803
1995-07-26,74.811
1995-07-27,74.796
1995-07-28,74.795
1995-07-29,74.846
1995-07-30,74.82
1995-07-31,74.81
1995-08-01,74.807
1995-08-02,74.764
1995-08-03,74.763
1995-08-04,74.803
1995-08-05,74.801
1995-08-06,74.756
1995-08-07,74.752
1995-08-08,74.762
1995-08-09,74.764
1995-08-10,74.768
1995-08-11,74.784
1995-08-12,74.795
1995-08-13,74.765
1995-08-14,74.757
1995-08-15,74.784
1995-08-16,74.77
1995-08-17,74.75
1995-08-18,74.723
1995-08-19,74.715
1995-08-20,74.748
1995-08-21,74.766
1995-08-22,74.713
1995-08-23,74.733
1995-08-24,74.718
1995-08-25,74.688
1995-08-26,74.694
1995-08-27,74.664
1995-08-28,74.65
1995-08-29,74.66
1995-08-30,74.631
1995-08-31,74.671
1995-09-01,74.67
1995-09-02,74.656
1995-09-03,74.643
1995-09-04,74.641
1995-09-05,74.652
1995-09-06,74.605
1995-09-07,74.622
1995-09-08,74.575
1995-09-09,74.608
1995-09-10,74.58
1995-09-11,74.585
1995-09-12,74.594
1995-09-13,74.621
1995-09-14,74.594
1995-09-15,74.568
1995-09-16,74.593
1995-09-17,74.601
1995-09-18,74.545
1995-09-19,74.532
1995-09-20,74.522
1995-09-21,74.526
1995-09-22,74.556
1995-09-23,74.532
1995-09-24,74.511
1995-09-25,74.511
1995-09-26,74.518
1995-09-27,74.535
1995-09-28,74.474
1995-09-29,74.475
1995-09-30,74.481
1995-10-01,74.468
1995-10-02,74.487
1995-10-03,74.428
1995-10-04,74.419
1995-10-05,74.358
1995-10-06,74.444
1995-10-07,74.531
1995-10-08,74.567
1995-10-09,74.519
1995-10-10,74.5
1995-10-11,74.529
1995-10-12,74.542
1995-10-13,74.534
