Date,IGLD.m
1/1/2006,74.381
1/2/2006,74.355
1/3/2006,74.333
1/4/2006,74.396
1/5/2006,74.454
1/6/2006,74.426
1/7/2006,74.44
1/8/2006,74.437
1/9/2006,74.455
1/10/2006,74.458
1/11/2006,74.473
1/12/2006,74.488
1/13/2006,74.47
1/14/2006,74.461
1/15/2006,74.437
1/16/2006,74.47
1/17/2006,74.431
1/18/2006,74.652
1/19/2006,74.605
1/20/2006,74.578
1/21/2006,74.572
1/22/2006,74.556
1/23/2006,74.596
1/24/2006,74.621
1/25/2006,74.635
1/26/2006,74.611
1/27/2006,74.632
1/28/2006,74.643
1/29/2006,74.562
1/30/2006,74.609
1/31/2006,74.647
2/1/2006,74.608
2/2/2006,74.659
2/3/2006,74.693
2/4/2006,74.617
2/5/2006,74.794
2/6/2006,74.872
2/7/2006,74.765
2/8/2006,74.738
2/9/2006,74.742
2/10/2006,74.716
2/11/2006,74.715
2/12/2006,74.708
2/13/2006,74.787
2/14/2006,74.784
2/15/2006,74.764
2/16/2006,74.647
2/17/2006,74.851
2/18/2006,74.779
2/19/2006,74.82
2/20/2006,74.814
2/21/2006,74.784
2/22/2006,74.735
2/23/2006,74.746
2/24/2006,74.755
2/25/2006,74.686
2/26/2006,74.722
2/27/2006,74.699
2/28/2006,74.727
3/1/2006,74.691
3/2/2006,74.68
3/3/2006,74.685
3/4/2006,74.692
3/5/2006,74.682
3/6/2006,74.647
3/7/2006,74.633
3/8/2006,74.616
3/9/2006,74.615
3/10/2006,74.664
3/11/2006,74.641
3/12/2006,74.645
3/13/2006,74.641
3/14/2006,74.823
3/15/2006,74.761
3/16/2006,74.7
3/17/2006,74.685
3/18/2006,74.703
3/19/2006,74.69
3/20/2006,74.654
3/21/2006,74.69
3/22/2006,74.694
3/23/2006,74.688
3/24/2006,74.676
3/25/2006,74.675
3/26/2006,74.679
3/27/2006,74.675
3/28/2006,74.662
3/29/2006,74.665
3/30/2006,74.649
3/31/2006,74.64
4/1/2006,74.691
4/2/2006,74.657
4/3/2006,74.632
4/4/2006,74.741
4/5/2006,74.707
4/6/2006,74.699
4/7/2006,74.667
4/8/2006,74.667
4/9/2006,74.688
4/10/2006,74.687
4/11/2006,74.667
4/12/2006,74.667
4/13/2006,74.721
4/14/2006,74.664
4/15/2006,74.714
4/16/2006,74.69
4/17/2006,74.663
4/18/2006,74.664
4/19/2006,74.67
4/20/2006,74.669
4/21/2006,74.623
4/22/2006,74.633
4/23/2006,74.656
4/24/2006,74.711
4/25/2006,74.724
4/26/2006,74.747
4/27/2006,74.69
4/28/2006,74.685
4/29/2006,74.686
4/30/2006,74.67
5/1/2006,74.668
5/2/2006,74.646
5/3/2006,74.665
5/4/2006,74.683
5/5/2006,74.703
5/6/2006,74.695
5/7/2006,74.663
5/8/2006,74.666
5/9/2006,74.665
5/10/2006,74.652
5/11/2006,74.615
5/12/2006,74.669
5/13/2006,74.662
5/14/2006,74.644
5/15/2006,74.676
5/16/2006,74.704
5/17/2006,74.735
5/18/2006,74.723
5/19/2006,74.749
5/20/2006,74.784
5/21/2006,74.793
5/22/2006,74.766
5/23/2006,74.76
5/24/2006,74.753
5/25/2006,74.737
5/26/2006,74.732
5/27/2006,74.742
5/28/2006,74.732
5/29/2006,74.736
5/30/2006,74.732
5/31/2006,74.745
6/1/2006,74.74
6/2/2006,74.742
6/3/2006,74.728
6/4/2006,74.718
6/5/2006,74.753
6/6/2006,74.752
6/7/2006,74.747
6/8/2006,74.738
6/9/2006,74.762
6/10/2006,74.77
6/11/2006,74.776
6/12/2006,74.776
6/13/2006,74.772
6/14/2006,74.761
6/15/2006,74.764
6/16/2006,74.763
6/17/2006,74.769
6/18/2006,74.756
6/19/2006,74.775
6/20/2006,74.785
6/21/2006,74.765
6/22/2006,74.781
6/23/2006,74.758
6/24/2006,74.749
6/25/2006,74.738
6/26/2006,74.729
6/27/2006,74.763
6/28/2006,74.783
6/29/2006,74.801
6/30/2006,74.81
7/1/2006,74.819
7/2/2006,74.867
7/3/2006,74.828
7/4/2006,74.846
7/5/2006,74.863
7/6/2006,74.849
7/7/2006,74.85
7/8/2006,74.844
7/9/2006,74.833
7/10/2006,74.829
7/11/2006,74.857
7/12/2006,74.827
7/13/2006,74.859
7/14/2006,74.866
7/15/2006,74.894
7/16/2006,74.89
7/17/2006,74.908
7/18/2006,74.899
7/19/2006,74.867
7/20/2006,74.888
7/21/2006,74.889
7/22/2006,74.834
7/23/2006,74.872
7/24/2006,74.87
7/25/2006,74.906
7/26/2006,74.876
7/27/2006,74.885
7/28/2006,74.896
7/29/2006,74.926
7/30/2006,74.906
7/31/2006,74.925
8/1/2006,74.948
8/2/2006,74.951
8/3/2006,74.937
8/4/2006,74.95
8/5/2006,74.917
8/6/2006,74.911
8/7/2006,74.945
8/8/2006,74.878
8/9/2006,74.88
8/10/2006,74.861
8/11/2006,74.822
8/12/2006,74.818
8/13/2006,74.826
8/14/2006,74.838
8/15/2006,74.855
8/16/2006,74.821
8/17/2006,74.803
8/18/2006,74.802
8/19/2006,74.791
8/20/2006,74.781
8/21/2006,74.785
8/22/2006,74.787
8/23/2006,74.756
8/24/2006,74.737
8/25/2006,74.693
8/26/2006,74.687
8/27/2006,74.736
8/28/2006,74.697
8/29/2006,74.687
8/30/2006,74.645
8/31/2006,74.638
9/1/2006,74.621
9/2/2006,74.578
9/3/2006,74.642
9/4/2006,74.684
9/5/2006,74.673
9/6/2006,74.657
9/7/2006,74.657
9/8/2006,74.683
9/9/2006,74.672
9/10/2006,74.632
9/11/2006,74.594
9/12/2006,74.589
9/13/2006,74.638
9/14/2006,74.645
9/15/2006,74.638
9/16/2006,74.645
9/17/2006,74.639
9/18/2006,74.656
9/19/2006,74.685
9/20/2006,74.686
9/21/2006,74.682
9/22/2006,74.658
9/23/2006,74.662
9/24/2006,74.698
9/25/2006,74.673
9/26/2006,74.659
9/27/2006,74.656
