Date,Hour,Site,WL,AWL
4/16/2013,18:00,DB,74.75418569,74.75418569
4/16/2013,19:00,DB,74.75418569,74.75418569
4/16/2013,20:00,DB,74.75418569,74.75418569
4/16/2013,21:00,DB,74.75418569,74.75418569
4/16/2013,22:00,DB,74.75418569,74.75418569
4/16/2013,23:00,DB,74.79223744,74.79223744
4/17/2013,0:00,DB,74.78272451,74.78272451
4/17/2013,1:00,DB,74.76369863,74.76369863
4/17/2013,2:00,DB,74.75418569,74.75418569
4/17/2013,3:00,DB,74.74467275,74.74467275
4/17/2013,4:00,DB,74.75418569,74.75418569
4/17/2013,5:00,DB,74.78272451,74.78272451
4/17/2013,6:00,DB,74.77321157,74.77321157
4/17/2013,7:00,DB,74.75418569,74.75418569
4/17/2013,8:00,DB,74.73515982,74.73515982
4/17/2013,9:00,DB,74.76369863,74.76369863
4/17/2013,10:00,DB,74.75418569,74.75418569
4/17/2013,11:00,DB,74.74467275,74.74467275
4/17/2013,12:00,DB,74.72564688,74.72564688
4/17/2013,13:00,DB,74.72564688,74.72564688
4/17/2013,14:00,DB,74.74467275,74.74467275
4/17/2013,15:00,DB,74.76369863,74.76369863
4/17/2013,16:00,DB,74.76369863,74.76369863
4/17/2013,17:00,DB,74.75418569,74.75418569
4/17/2013,18:00,DB,74.72564688,74.72564688
4/17/2013,19:00,DB,74.74467275,74.74467275
4/17/2013,20:00,DB,74.73515982,74.73515982
4/17/2013,21:00,DB,74.72564688,74.72564688
4/17/2013,22:00,DB,74.706621,74.706621
4/17/2013,23:00,DB,74.706621,74.706621
4/18/2013,0:00,DB,74.71613394,74.71613394
4/18/2013,1:00,DB,74.706621,74.706621
4/18/2013,2:00,DB,74.68759513,74.68759513
4/18/2013,3:00,DB,74.69710807,74.69710807
4/18/2013,4:00,DB,74.73515982,74.73515982
4/18/2013,5:00,DB,74.71613394,74.71613394
4/18/2013,6:00,DB,74.69710807,74.69710807
4/18/2013,7:00,DB,74.67808219,74.67808219
4/18/2013,8:00,DB,74.67808219,74.67808219
4/18/2013,9:00,DB,74.67808219,74.67808219
4/18/2013,10:00,DB,74.706621,74.706621
4/18/2013,11:00,DB,74.69710807,74.69710807
4/18/2013,12:00,DB,74.68759513,74.68759513
4/18/2013,13:00,DB,74.67808219,74.67808219
4/18/2013,14:00,DB,74.66856925,74.66856925
4/18/2013,15:00,DB,74.67808219,74.67808219
4/18/2013,16:00,DB,74.67808219,74.67808219
4/18/2013,17:00,DB,74.68759513,74.68759513
4/18/2013,18:00,DB,74.66856925,74.66856925
4/18/2013,19:00,DB,74.68759513,74.68759513
4/18/2013,20:00,DB,74.68759513,74.68759513
4/18/2013,21:00,DB,74.67808219,74.67808219
4/18/2013,22:00,DB,74.67808219,74.67808219
4/18/2013,23:00,DB,74.68759513,74.68759513
4/19/2013,0:00,DB,74.67808219,74.67808219
4/19/2013,1:00,DB,74.67808219,74.67808219
4/19/2013,2:00,DB,74.69710807,74.69710807
4/19/2013,3:00,DB,74.69710807,74.69710807
4/19/2013,4:00,DB,74.72564688,74.72564688
4/19/2013,5:00,DB,74.69710807,74.69710807
4/19/2013,6:00,DB,74.68759513,74.68759513
4/19/2013,7:00,DB,74.68759513,74.68759513
4/19/2013,8:00,DB,74.69710807,74.69710807
4/19/2013,9:00,DB,74.67808219,74.67808219
4/19/2013,10:00,DB,74.67808219,74.67808219
4/19/2013,11:00,DB,74.66856925,74.66856925
4/19/2013,12:00,DB,74.67808219,74.67808219
4/19/2013,13:00,DB,74.69710807,74.69710807
4/19/2013,14:00,DB,74.69710807,74.69710807
4/19/2013,15:00,DB,74.69710807,74.69710807
4/19/2013,16:00,DB,74.68759513,74.68759513
4/19/2013,17:00,DB,74.69710807,74.69710807
4/19/2013,18:00,DB,74.75418569,74.75418569
4/19/2013,19:00,DB,74.82077626,74.82077626
4/19/2013,20:00,DB,74.83980213,74.83980213
4/19/2013,21:00,DB,74.83028919,74.83028919
4/19/2013,22:00,DB,74.81126332,74.81126332
4/19/2013,23:00,DB,74.79223744,74.79223744
4/20/2013,0:00,DB,74.79223744,74.79223744
4/20/2013,1:00,DB,74.78272451,74.78272451
4/20/2013,2:00,DB,74.77321157,74.77321157
4/20/2013,3:00,DB,74.79223744,74.79223744
4/20/2013,4:00,DB,74.81126332,74.81126332
4/20/2013,5:00,DB,74.79223744,74.79223744
4/20/2013,6:00,DB,74.77321157,74.77321157
4/20/2013,7:00,DB,74.80175038,74.80175038
4/20/2013,8:00,DB,74.80175038,74.80175038
4/20/2013,9:00,DB,74.82077626,74.82077626
4/20/2013,10:00,DB,74.82077626,74.82077626
4/20/2013,11:00,DB,74.79223744,74.79223744
4/20/2013,12:00,DB,74.79223744,74.79223744
4/20/2013,13:00,DB,74.82077626,74.82077626
