Dates,WL
1/1/1906,74.858
1/2/1906,74.819
1/3/1906,74.746
1/4/1906,74.767
1/5/1906,74.807
1/6/1906,74.858
1/7/1906,74.88
1/8/1906,74.797
1/9/1906,74.849
1/10/1906,74.758
1/11/1906,74.788
1/12/1906,74.797
1/13/1906,74.727
1/14/1906,74.706
1/15/1906,74.736
1/16/1906,74.776
1/17/1906,74.828
1/18/1906,74.746
1/19/1906,74.767
1/20/1906,74.727
1/21/1906,74.758
1/22/1906,74.797
1/23/1906,74.828
1/24/1906,74.889
1/25/1906,74.807
1/26/1906,74.849
1/27/1906,74.807
1/28/1906,74.889
1/29/1906,74.828
1/30/1906,74.797
1/31/1906,74.858
2/1/1906,74.828
2/2/1906,74.919
2/3/1906,74.797
2/4/1906,74.797
2/5/1906,74.819
2/6/1906,74.797
2/7/1906,74.788
2/8/1906,74.797
2/9/1906,74.776
2/10/1906,74.837
2/11/1906,74.736
2/12/1906,74.758
2/13/1906,74.807
2/14/1906,74.797
2/15/1906,74.819
2/16/1906,74.797
2/17/1906,74.788
2/18/1906,74.797
2/19/1906,74.807
2/20/1906,74.746
2/21/1906,74.758
2/22/1906,74.715
2/23/1906,74.727
2/24/1906,74.746
2/25/1906,74.727
2/26/1906,74.868
2/27/1906,74.767
2/28/1906,74.797
3/1/1906,74.746
3/2/1906,74.727
3/3/1906,74.706
3/4/1906,74.767
3/5/1906,74.776
3/6/1906,74.715
3/7/1906,74.746
3/8/1906,74.736
3/9/1906,74.776
3/10/1906,74.776
3/11/1906,74.727
3/12/1906,74.767
3/13/1906,74.746
3/14/1906,74.715
3/15/1906,74.727
3/16/1906,74.706
3/17/1906,74.746
3/18/1906,74.706
3/19/1906,74.676
3/20/1906,74.797
3/21/1906,74.706
3/22/1906,74.758
3/23/1906,74.758
3/24/1906,74.715
3/25/1906,74.676
3/26/1906,74.666
3/27/1906,74.666
3/28/1906,74.736
3/29/1906,74.727
3/30/1906,74.776
3/31/1906,74.797
4/1/1906,74.767
4/2/1906,74.767
4/3/1906,74.758
4/4/1906,74.788
4/5/1906,74.776
4/6/1906,74.849
4/7/1906,74.788
4/8/1906,74.797
4/9/1906,74.736
4/10/1906,74.807
4/11/1906,74.849
4/12/1906,74.828
4/13/1906,74.858
4/14/1906,74.819
4/15/1906,74.858
4/16/1906,74.868
4/17/1906,74.88
4/18/1906,74.858
4/19/1906,74.858
4/20/1906,74.88
4/21/1906,74.858
4/22/1906,74.858
4/23/1906,74.889
4/24/1906,74.889
4/25/1906,74.868
4/26/1906,74.858
4/27/1906,74.868
4/28/1906,74.88
4/29/1906,74.849
4/30/1906,74.868
5/1/1906,74.858
5/2/1906,74.849
5/3/1906,74.898
5/4/1906,74.849
5/5/1906,74.858
5/6/1906,74.868
5/7/1906,74.868
5/8/1906,74.858
5/9/1906,74.868
5/10/1906,74.88
5/11/1906,74.858
5/12/1906,74.837
5/13/1906,74.868
5/14/1906,74.88
5/15/1906,74.889
5/16/1906,74.88
5/17/1906,74.88
5/18/1906,74.889
5/19/1906,74.889
5/20/1906,74.889
5/21/1906,74.88
5/22/1906,74.849
5/23/1906,74.858
5/24/1906,74.858
5/25/1906,74.868
5/26/1906,74.868
5/27/1906,74.889
5/28/1906,74.889
5/29/1906,74.88
5/30/1906,74.849
5/31/1906,74.849
6/1/1906,74.868
6/2/1906,74.858
6/3/1906,74.858
6/4/1906,74.858
6/5/1906,74.849
6/6/1906,74.868
6/7/1906,74.868
6/8/1906,74.858
6/9/1906,74.858
6/10/1906,74.898
6/11/1906,74.898
6/12/1906,74.889
6/13/1906,74.889
6/14/1906,74.889
6/15/1906,74.898
6/16/1906,74.88
6/17/1906,74.889
6/18/1906,74.889
6/19/1906,74.898
6/20/1906,74.889
6/21/1906,74.889
6/22/1906,74.898
6/23/1906,74.889
6/24/1906,74.91
6/25/1906,74.919
6/26/1906,74.898
6/27/1906,74.889
6/28/1906,74.889
6/29/1906,74.941
