Date	Value
1909-07-01	75.133
1915-06-30	74.483
1924-09-30	74.654
1933-01-15	74.2
1936-04-30	74.529
1940-03-31	74.112
1946-06-30	75.133
1946-11-30	74.672
1946-12-29	74.63
1946-12-31	74.63
1947-02-22	74.834
1947-02-28	74.791
1947-03-02	74.791
1947-12-30	74.925
1948-11-16	74.813
1949-01-16	74.767
1949-03-24	74.941
1949-05-02	75.057
1949-05-12	75.066
1949-05-20	75.053
1949-06-01	75.032
1949-07-20	74.895
1949-11-26	74.395
1950-02-20	74.749
1950-02-22	74.749
1950-02-26	74.782
1950-02-28	74.782
1950-03-03	74.816
1950-12-11	74.828
1950-12-16	74.828
1950-12-21	74.861
1950-12-26	74.904
1950-12-31	74.84
1953-07-23	75.2
1956-12-12	74.587
1956-12-14	74.587
1956-12-16	74.587
1975-08-09	74.851
2007-02-01	75.067
1949-06-20	75.032
1949-06-21	75.032
1949-06-22	75.032
1949-06-23	75.032
1949-06-24	75.032
1949-06-25	75.032
1949-06-26	75.032
1949-06-27	75.032
1949-06-28	75.032
1949-06-29	75.032
1949-06-30	75.032
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
