Date Time, Water Level, I, L 
1933-01-01 00:00,74.240,0,0
1933-01-02 00:00,74.249,0,0
1933-01-03 00:00,74.230,0,0
1933-01-04 00:00,74.243,0,0
1933-01-05 00:00,74.261,0,0
1933-01-06 00:00,74.240,0,0
1933-01-07 00:00,74.291,0,0
1933-01-08 00:00,74.237,0,0
1933-01-09 00:00,74.261,0,0
1933-01-10 00:00,74.227,0,0
1933-01-11 00:00,74.249,0,0
1933-01-12 00:00,74.276,0,0
1933-01-13 00:00,74.215,0,0
1933-01-14 00:00,74.200,0,0
1933-01-16 00:00,74.218,0,0
1933-01-17 00:00,74.252,0,0
1933-01-18 00:00,74.218,0,0
1933-01-19 00:00,74.258,0,0
1933-01-20 00:00,74.285,0,0
1933-01-21 00:00,74.246,0,0
1933-01-22 00:00,74.249,0,0
1933-01-23 00:00,74.322,0,0
1933-01-24 00:00,74.276,0,0
1933-01-25 00:00,74.240,0,0
1933-01-26 00:00,74.264,0,0
1933-01-27 00:00,74.267,0,0
1933-01-28 00:00,74.310,0,0
1933-01-29 00:00,74.304,0,0
1933-01-30 00:00,74.279,0,0
1933-01-31 00:00,74.261,0,0
1933-02-01 00:00,74.230,0,0
1933-02-02 00:00,74.307,0,0
1933-02-03 00:00,74.288,0,0
1933-02-04 00:00,74.270,0,0
1933-02-05 00:00,74.291,0,0
1933-02-06 00:00,74.237,0,0
1933-02-07 00:00,74.227,0,0
1933-02-08 00:00,74.313,0,0
1933-02-09 00:00,74.322,0,0
1933-02-10 00:00,74.246,0,0
1933-02-11 00:00,74.282,0,0
1933-02-12 00:00,74.249,0,0
1933-02-13 00:00,74.230,0,0
1933-02-14 00:00,74.237,0,0
1933-02-15 00:00,74.304,0,0
1933-02-16 00:00,74.224,0,0
1933-02-17 00:00,74.218,0,0
1933-02-18 00:00,74.218,0,0
1933-02-19 00:00,74.173,0,0
1933-02-20 00:00,74.197,0,0
1933-02-21 00:00,74.282,0,0
1933-02-22 00:00,74.170,0,0
1933-02-23 00:00,74.215,0,0
1933-02-24 00:00,74.203,0,0
1933-02-25 00:00,74.179,0,0
